FAA Site Number,Loc ID,Airport Name,Associated City,State,Region,ADO,Use,Latitude,Longitude,Airport Ownership,Part 139,NPIAS Service Level,NPIAS Hub Type,Airport Control Tower,Fuel,Other Services,Based Aircraft Total,Total Operations
12697.81*A,68NE,HALL-FELD,DAVEY,NE,ACE,NONE,PR,40-59-28.9990N,096-37-11.0400W,PR,,NON-NPIAS,,N,,,1,0 
23366.*A,ATA,HALL-MILLER MUNI,ATLANTA,TX,ASW,TEX,PU,33-06-09.1000N,094-11-42.1000W,PU,,General Aviation,,N,100LL,,40,15600 
17979.021*A,OI40,HALLELUJAH FIELD,GOSHEN,OH,AGL,DET,PR,39-12-09.2210N,084-06-16.7610W,PR,,NON-NPIAS,,N,,,1,0 
03219.01*A,7FL4,HALLER AIRPARK,GREEN COVE SPRINGS,FL,ASO,ORL,PR,29-54-10.8740N,081-41-09.3220W,PR,,NON-NPIAS,,N,,,38,0 
19764.*A,8PN2,HALLETT'S,BANGOR,PA,AEA,HAR,PR,40-54-37.9800N,075-09-54.4800W,PR,,NON-NPIAS,,N,,,3,0 
24002.11*A,34R,HALLETTSVILLE MUNI,HALLETTSVILLE,TX,ASW,TEX,PU,29-23-23.8500N,096-57-21.8150W,PU,,NON-NPIAS,,N,100LL,,9,3600 
18932.*A,DUC,HALLIBURTON FIELD,DUNCAN,OK,ASW,AOK,PU,34-28-16.7000N,097-57-35.5000W,PU,,General Aviation,,N,100LLA,AMB  INSTR  RNTL,35,8750 
05290.08*A,IN32,HALLMARK,FRANCESVILLE,IN,AGL,CHI,PR,40-57-19.0000N,086-54-22.0000W,PR,,NON-NPIAS,,N,,,0,0 
10733.1*A,HCO,HALLOCK MUNI,HALLOCK,MN,AGL,DMA,PU,48-45-09.8330N,096-56-34.8110W,PU,,General Aviation,,N,100LLA,AGRI  SALES,12,17700 
03825.53*A,0GA0,HALLS FLYING RANCH,HAMPTON,GA,ASO,ATL,PR,33-21-22.4140N,084-22-01.7270W,PR,,NON-NPIAS,,N,,,6,0 
06646.14*A,SN05,HALSTEAD,HALSTEAD,KS,ACE,NONE,PR,38-01-53.0400N,097-30-33.1460W,PR,,NON-NPIAS,,N,MOGAS,,5,1800 
10219.02*A,MI48,HAM-A-LOT FIELD,PETERSBURG,MI,AGL,DET,PR,41-50-00.1720N,083-40-59.7750W,PR,,NON-NPIAS,,N,,,2,0 
15353.1*A,4G2,HAMBURG INC,HAMBURG,NY,AEA,NYC,PU,42-42-03.2130N,078-54-53.1250W,PR,,NON-NPIAS,,N,100,INSTR  RNTL,25,12000 
24767.11*A,5TA0,HAMILTON AIRCRAFT- INC,SEMINOLE,TX,ASW,TEX,PR,32-43-55.3690N,102-56-37.7390W,PR,,NON-NPIAS,,N,,,3,0 
17920.4*H,0OH3,HAMILTON COUNTY SHERIFF'S PATROL,FOREST PARK,OH,AGL,DET,PR,39-16-45.2050N,084-33-52.8030W,PR,,NON-NPIAS,,N,A,,0,0 
13517.02*H,3NJ0,HAMILTON FARM GOLF CLUB,BEDMINSTER,NJ,AEA,HAR,PR,40-42-28.0000N,074-41-02.0000W,PR,,NON-NPIAS,,N,,,0,0 
25117.01*A,UT80,HAMILTON FORT RANCH,CEDAR CITY,UT,ANM,DEN,PR,37-38-04.9100N,113-09-33.8200W,PR,,NON-NPIAS,,N,,,12,0 
14365.34*H,1JY4,HAMILTON HEADQUARTER TROOP C,TRENTON,NJ,AEA,HAR,PR,40-12-08.0000N,074-38-54.0000W,PU,,NON-NPIAS,,N,,,0,0 
03257.7*H,FA15,HAMILTON HELISTOP,JASPER,FL,ASO,ORL,PR,30-31-23.7800N,082-57-23.4850W,PU,,NON-NPIAS,,N,,,0,0 
20299.1*A,PS47,HAMILTON HILL,EBENSBURG,PA,AEA,HAR,PR,40-25-40.2620N,078-44-29.0740W,PR,,NON-NPIAS,,N,,,1,0 
05335.55*C,01F,HAMILTON LAKE,HAMILTON,IN,AGL,CHI,PU,41-33-08.0000N,084-55-02.0000W,PU,,NON-NPIAS,,N,,,0,0 
03752.01*H,GA70,HAMILTON MEDICAL CENTER,DALTON,GA,ASO,ATL,PR,34-47-20.2860N,084-58-21.8020W,PU,,NON-NPIAS,,N,,,0,0 
04838.01*H,0IL0,HAMILTON MEMORIAL HOSPITAL,MC LEANSBORO,IL,AGL,CHI,PR,38-05-12.1720N,088-32-20.1820W,PU,,NON-NPIAS,,N,,,0,0 
24003.*A,MNZ,HAMILTON MUNI,HAMILTON,TX,ASW,TEX,PU,31-39-57.3000N,098-08-55.1000W,PU,,General Aviation,,N,100LLA,GLD,10,6900 
15362.2*A,VGC,HAMILTON MUNI,HAMILTON,NY,AEA,NYC,PU,42-50-36.4000N,075-33-40.3000W,PU,,General Aviation,,N,100LLA,GLD,34,17310 
23504.*A,8TS0,HAMILTON RANCH,BRUNI,TX,ASW,TEX,PR,27-33-11.1110N,098-43-56.0650W,PR,,NON-NPIAS,,N,,,1,0 
02946.1*H,CT35,HAMILTON STANDARD,WINDSOR LOCKS,CT,ANE,NONE,PR,41-56-00.3490N,072-41-58.3330W,PR,,NON-NPIAS,,N,,,0,0 
24005.*H,48TA,HAMLIN MEMORIAL HOSPITAL,HAMLIN,TX,ASW,TEX,PR,32-53-08.3860N,100-08-07.3670W,PR,,NON-NPIAS,,N,,,0,0 
24005.1*A,14F,HAMLIN MUNI,HAMLIN,TX,ASW,TEX,PU,32-50-58.8309N,100-08-11.9357W,PU,,NON-NPIAS,,N,,AGRI,6,2400 
10504.1*A,MN01,HAMMARS FARM,ADA,MN,AGL,DMA,PR,47-16-59.8850N,096-37-01.2600W,PR,,NON-NPIAS,,N,,,0,0 
04950.2*A,00IL,HAMMER,POLO,IL,AGL,CHI,PR,41-58-42.1080N,089-33-37.3980W,PR,,NON-NPIAS,,N,,,0,1500 
26386.03*H,WT02,HAMMER EVOC SKID PAD,RICHLAND,WA,ANM,SEA,PR,46-21-29.0000N,119-20-01.0000W,PR,,NON-NPIAS,,N,,,0,0 
00973.03*A,7AR0,HAMMER FIELD,EUREKA SPRINGS,AR,ASW,AOK,PR,36-25-53.2000N,093-41-57.5000W,PR,,NON-NPIAS,,N,,,0,0 
15910.*H,5NK7,HAMMERSLEY HILL,PAWLING,NY,AEA,NYC,PR,41-35-40.3300N,073-33-21.4500W,PR,,NON-NPIAS,,N,,,0,0 
04615.*H,06LL,HAMMERSMITH,ELBURN,IL,AGL,CHI,PR,41-52-25.0000N,088-29-49.0000W,PR,,NON-NPIAS,,N,,,0,0 
04368.8*A,7IS7,HAMMOCK FIELD,ALHAMBRA,IL,AGL,CHI,PR,38-54-50.1670N,089-40-12.3240W,PR,,NON-NPIAS,,N,,,1,0 
18115.12*A,25OH,HAMMOND,LOUISVILLE,OH,AGL,DET,PR,40-54-47.2090N,081-15-35.3810W,PR,,NON-NPIAS,,N,,,1,0 
18740.2*A,OI91,HAMMOND,YELLOW SPRINGS,OH,AGL,DET,PR,39-46-47.0000N,083-54-33.0000W,PR,,NON-NPIAS,,N,,,3,0 
07541.*A,HDC,HAMMOND NORTHSHORE RGNL,HAMMOND,LA,ASW,LNM,PU,30-31-18.0747N,090-25-06.1707W,PU,,General Aviation,,Y,100LLA,AMB  CHTR  INSTR  RNTL,154,76850 
04672.06*H,3LL2,HAMMOND-HENRY HOSPITAL,GENESEO,IL,AGL,CHI,PR,41-27-40.0000N,090-09-25.0000W,PR,,NON-NPIAS,,N,,,0,0 
13796.2*A,N81,HAMMONTON MUNI,HAMMONTON,NJ,AEA,HAR,PU,39-40-02.9000N,074-45-27.8000W,PU,,General Aviation,,N,100LLA,GLD  INSTR  RNTL  SALES,22,15900 
09785.*A,68R,HAMP,ELWELL,MI,AGL,DET,PU,43-23-58.1130N,084-48-03.0410W,PR,,NON-NPIAS,,N,,,4,300 
26872.11*H,85WV,HAMPSHIRE MEMORIAL HOSPITAL,ROMNEY,WV,AEA,NONE,PR,39-20-01.0000N,078-41-51.0000W,PR,,NON-NPIAS,,N,,,0,0 
08589.1*A,MD45,HAMPTON,LEONARDTOWN,MD,AEA,DCA,PR,38-13-50.4600N,076-37-43.8570W,PR,,NON-NPIAS,,N,,,2,0 
13262.*A,7B3,HAMPTON AIRFIELD,HAMPTON,NH,ANE,NONE,PU,42-57-45.3220N,070-49-43.1910W,PR,,NON-NPIAS,,N,100LLMOGAS,INSTR  RNTL  SALES,88,37510 
05311.1*A,38II,HAMPTON FIELD,GREENCASTLE,IN,AGL,CHI,PR,39-43-43.0000N,086-49-23.0000W,PR,,NON-NPIAS,,N,,,0,0 
01001.32*A,0R6,HAMPTON MUNI,HAMPTON,AR,ASW,AOK,PU,33-31-21.4000N,092-27-37.0000W,PU,,NON-NPIAS,,N,,,0,200 
06039.1*A,HPT,HAMPTON MUNI,HAMPTON,IA,ACE,NONE,PU,42-43-25.3000N,093-13-34.8000W,PU,,General Aviation,,N,100LLA,,20,4500 
22556.*H,SC62,HAMPTON REGIONAL MEDICAL CENTER,VARNVILLE,SC,ASO,ATL,PR,32-51-08.5990N,081-05-19.3790W,PU,,NON-NPIAS,,N,,,0,0 
25905.1*A,PVG,HAMPTON ROADS EXECUTIVE,NORFOLK,VA,AEA,DCA,PU,36-46-50.7533N,076-27-04.6093W,PR,,Reliever,,N,100LLA,AVNCS  INSTR  RNTL  SALES  SURV,142,65269 
22321.*A,3J0,HAMPTON-VARNVILLE,HAMPTON,SC,ASO,ATL,PU,32-51-59.4000N,081-04-51.6000W,PU,,NON-NPIAS,,N,,,2,1400 
18710.*A,5OI5,HAMRICK,WILLSHIRE,OH,AGL,DET,PR,40-41-36.1690N,084-46-49.8650W,PR,,NON-NPIAS,,N,,,1,0 
52061.*A,HNM,HANA,HANA,HI,AWP,HNL,PU,20-47-44.2938N,156-00-51.9764W,PU,,General Aviation,,N,,,0,3142 
52068.*A,HI03,HANAMAULU AIRSTRIP,HANAMAULU,HI,AWP,HNL,PR,22-02-28.6020N,159-23-22.9300W,PR,,NON-NPIAS,,N,,,0,0 
00329.01*H,HEY,HANCHEY AHP (FORT RUCKER),FORT RUCKER OZARK,AL,ASO,JAN,PR,31-21-20.6000N,085-39-06.0300W,MR,,NON-NPIAS,,Y,,,0,0 
24155.1*A,4TX5,HANCOCK,KERENS,TX,ASW,TEX,PR,32-13-47.5330N,096-15-34.9170W,PR,,NON-NPIAS,,N,,,0,0 
09613.39*A,6MI6,HANCOCK,BUCHANAN,MI,AGL,DET,PR,41-51-10.1630N,086-26-10.0600W,PR,,NON-NPIAS,,N,,,3,0 
07232.08*A,KY8,HANCOCK CO-RON LEWIS FIELD,LEWISPORT,KY,ASO,MEM,PU,37-57-11.5000N,086-51-25.8000W,PU,,General Aviation,,N,100LL,,17,8700 
07828.*A,BHB,HANCOCK COUNTY-BAR HARBOR,BAR HARBOR,ME,ANE,NONE,PU,44-26-59.1680N,068-21-41.6350W,PU,I A S 11/2005,Commercial Service,,N,100LLA,AFRT  CHTR  GLD  INSTR  RNTL  TOW,19,34320 
05315.17*H,8IN4,HANCOCK MEMORIAL HOSPITAL,GREENFIELD,IN,AGL,CHI,PR,39-48-53.0000N,085-46-56.0000W,PR,,NON-NPIAS,,N,,,0,0 
07937.*C,68JY,HANCOCK POND,DENMARK,ME,ANE,NONE,PR,43-55-54.0000N,070-45-24.0000W,PR,,NON-NPIAS,,N,,,1,0 
10203.3*A,37MI,HANDLEMAN SKY RANCH,OXFORD,MI,AGL,DET,PR,42-51-10.1070N,083-13-39.7820W,PR,,NON-NPIAS,,N,,,2,0 
25800.1*A,0VA9,HANDY STRIP,GLOUCESTER COURT HOUSE,VA,AEA,DCA,PR,37-26-50.4980N,076-27-13.8120W,PR,,NON-NPIAS,,N,,,2,0 
19525.1*A,0OR9,HANEL FIELD,MOUNT HOOD,OR,ANM,SEA,PR,45-35-33.4220N,121-32-55.2670W,PR,,NON-NPIAS,,N,,,0,0 
26231.1*A,3WA2,HANES,HARRINGTON,WA,ANM,SEA,PR,47-29-29.5540N,118-15-03.9070W,PR,,NON-NPIAS,,N,80,,3,0 
09064.*H,41MA,HANEY,MASHPEE,MA,ANE,NONE,PR,41-35-24.9600N,070-28-28.3100W,PR,,NON-NPIAS,,N,,,0,0 
01641.21*H,4CL8,HANFORD COMMUNITY MEDICAL CENTER HELISTOP,HANFORD,CA,AWP,SFO,PR,36-19-47.8200N,119-39-34.4650W,PR,,NON-NPIAS,,N,,,0,0 
01641.*A,HJO,HANFORD MUNI,HANFORD,CA,AWP,SFO,PU,36-19-00.2000N,119-37-39.6000W,PU,,General Aviation,,N,100LL,CHTR  INSTR  SALES,36,28700 
00788.08*H,81AZ,HANGAR 5,SCOTTSDALE,AZ,AWP,PHX,PR,33-37-56.0800N,111-54-23.8000W,PR,,NON-NPIAS,,N,,,0,0 
05427.*U,4II2,HANGAR FLY ULTRALIGHT FLY CLUB,LAWRENCE,IN,AGL,CHI,PR,39-51-12.1450N,085-57-14.9340W,PR,,NON-NPIAS,,N,,,0,0 
00718.*A,AZ90,HANGAR HACIENDAS,LAVEEN,AZ,AWP,PHX,PR,33-21-12.1630N,112-07-38.5370W,PR,,NON-NPIAS,,N,,,20,0 
50060.1*C,Z58,HANGAR LAKE,BETHEL,AK,AAL,NONE,PU,60-47-48.2930N,161-43-38.2670W,PU,,NON-NPIAS,,N,100  100LLA,CARGO,19,0 
23575.481*A,40XS,HANK SASSER AIRPORT AT BREAKAWAY,CEDAR PARK,TX,ASW,TEX,PR,30-31-03.4850N,097-46-50.9450W,PR,,NON-NPIAS,,N,,,18,0 
19090.02*A,1OK9,HANKINS,MARIETTA,OK,ASW,AOK,PR,33-58-30.3580N,097-05-21.0410W,PR,,NON-NPIAS,,N,,,1,0 
25160.*A,HVE,HANKSVILLE,HANKSVILLE,UT,ANM,DEN,PU,38-25-04.9340N,110-42-14.5360W,PU,,General Aviation,,N,,,4,950 
10124.*A,5Y7,HANLEY FIELD,MUNISING,MI,AGL,DET,PU,46-21-14.8200N,086-37-15.5650W,PU,,NON-NPIAS,,N,,,1,200 
11550.*A,31MO,HANNAH,BOLCKOW,MO,ACE,NONE,PR,40-06-19.9720N,094-44-35.8780W,PR,,NON-NPIAS,,N,,,2,0 
25885.4*A,7VA9,HANNAH FIELD,MONTEREY,VA,AEA,DCA,PR,38-23-54.0000N,079-36-01.0000W,PR,,NON-NPIAS,,N,,,0,0 
22557.1*A,29SC,HANNAH RHEA FIELD,WALTERBORO,SC,ASO,ATL,PR,32-54-05.0000N,080-51-13.0000W,PR,,NON-NPIAS,,N,,,1,0 
05888.81*A,0IA8,HANNEN,CENTER POINT,IA,ACE,NONE,PR,42-13-40.8000N,091-45-03.6000W,PR,,NON-NPIAS,,N,,,2,0 
11765.*A,HAE,HANNIBAL RGNL,HANNIBAL,MO,ACE,NONE,PU,39-43-30.6000N,091-26-37.9000W,PU,,General Aviation,,N,100LLA,CHTR  GLD  INSTR  RNTL  SALES  TOW,15,6044 
11765.1*H,0MU3,HANNIBAL RGNL HOSPITAL,HANNIBAL,MO,ACE,NONE,PR,39-42-40.1620N,091-27-02.5470W,PR,,NON-NPIAS,,N,,,0,0 
20563.1*A,80PN,HANNY BEAVER AIRPARK INC,HOOKSTOWN,PA,AEA,HAR,PR,40-32-30.2390N,080-27-09.2370W,PR,,NON-NPIAS,,N,,,0,0 
25973.35*A,OFP,HANOVER COUNTY MUNI,RICHMOND/ASHLAND,VA,AEA,DCA,PU,37-42-32.2000N,077-26-11.9000W,PU,,General Aviation,,N,100LLA,AFRT  AGRI  AMB  CARGO  CHTR  GLD  INSTR  RNTL  SALES  SURV  TOW,94,35232 
20490.11*H,37PN,HANOVER HOSPITAL,HANOVER,PA,AEA,HAR,PR,39-48-28.9500N,076-58-56.4000W,PR,,NON-NPIAS,,N,,,0,0 
20491.*H,PN87,HANOVER TOWNSHIP FIRE STATION #5,HANOVER TOWNSHIP,PA,AEA,HAR,PR,41-14-07.8100N,075-56-02.5600W,PR,,NON-NPIAS,,N,,,0,0 
15157.51*H,02NY,HANSEN,DURHAMVILLE,NY,AEA,NYC,PR,43-07-57.2460N,075-39-19.6550W,PR,,NON-NPIAS,,N,,,0,0 
26190.5*H,0WA4,HANSEN,EAST WENATCHEE,WA,ANM,SEA,PR,47-26-10.4570N,120-16-46.2540W,PR,,NON-NPIAS,,N,,,0,0 
01216.1*A,11CL,HANSEN,ADELANTO,CA,AWP,LAX,PR,34-37-47.9640N,117-39-12.2070W,PR,,NON-NPIAS,,N,100LL,,2,600 
18352.*A,84OH,HANSHELL FLYING APPLE,OCTA,OH,AGL,DET,PR,39-34-52.2200N,083-39-03.7190W,PR,,NON-NPIAS,,N,,,2,0 
12439.01*A,0MT6,HANSON,MARION,MT,ANM,HLN,PR,48-02-15.6750N,114-40-28.6300W,PR,,NON-NPIAS,,N,,,5,0 
09449.*H,37MA,HANSON,WILBRAHAM,MA,ANE,NONE,PR,42-07-22.0000N,072-25-25.0000W,PR,,NON-NPIAS,,N,,,0,0 
16494.1*A,30NC,HAPPY BOTTOM,ADVANCE,NC,ASO,MEM,PR,36-02-55.0000N,080-27-25.0000W,PR,,NON-NPIAS,,N,,,0,0 
02531.8*A,6CO7,HAPPY BUTT,BYERS,CO,ANM,NONE,PR,39-35-45.0000N,104-14-03.0000W,PR,,NON-NPIAS,,N,,,0,0 
01645.*A,36S,HAPPY CAMP,HAPPY CAMP,CA,AWP,SFO,PU,41-47-26.4460N,123-23-20.2000W,PU,,General Aviation,,N,,,0,250 
25160.8*A,UT97,HAPPY CANYON,HAPPY CANYON,UT,ANM,DEN,PR,38-09-26.0000N,110-17-32.0000W,PU,,NON-NPIAS,,N,,,0,0 
27186.*A,WI73,HAPPY JACKS AIR STRIP,EUREKA,WI,AGL,CHI,PR,43-59-59.9330N,088-50-00.4040W,PR,,NON-NPIAS,,N,,,0,0 
08665.*A,MD73,HAPPY LANDINGS FARM,UNIONVILLE,MD,AEA,DCA,PR,39-27-30.3670N,077-08-52.9340W,PR,,NON-NPIAS,,N,,,0,0 
14694.511*A,NM41,HAPPY MOUNTAIN,PIE TOWN,NM,ASW,LNM,PR,34-03-40.2020N,108-05-47.2060W,PR,,NON-NPIAS,,N,,,1,0 
19462.8*A,OL03,HAPPY VALLEY,HAPPY VALLEY,OR,ANM,SEA,PR,45-26-53.4340N,122-29-58.3230W,PR,,NON-NPIAS,,N,,,2,400 
09888.*A,MGN,HARBOR SPRINGS,HARBOR SPRINGS,MI,AGL,DET,PU,45-25-31.7000N,084-54-48.5000W,PU,,General Aviation,,N,100LLA,,16,16500 
19046.01*H,OL14,HARBOR'S IN,KETCHUM,OK,ASW,AOK,PR,36-33-30.2880N,094-58-00.8570W,PR,,NON-NPIAS,,N,,,0,0 
26393.18*H,WA53,HARBORVIEW MEDICAL CENTER,SEATTLE,WA,ANM,SEA,PR,47-36-10.6800N,122-19-29.5700W,PU,,NON-NPIAS,,N,,,0,0 
11760.1*A,MO30,HARBOUR,GRAVOIS MILLS,MO,ACE,NONE,PR,38-16-11.4683N,092-48-41.3346W,PR,,NON-NPIAS,,N,,,0,40 
19374.56*A,OR38,HARCHENKO INDUSTRIAL,BROOKS,OR,ANM,SEA,PR,45-04-39.4300N,122-55-44.3440W,PR,,NON-NPIAS,,N,,,6,0 
05629.12*A,IN44,HARDIN,SALEM,IN,AGL,CHI,PR,38-33-51.2100N,086-03-26.9140W,PR,,NON-NPIAS,,N,,,1,0 
18065.1*A,I95,HARDIN COUNTY,KENTON,OH,AGL,DET,PU,40-36-36.3000N,083-38-39.3000W,PU,,General Aviation,,N,100LLA1+,,19,6562 
23180.01*H,5TN6,HARDIN COUNTY GENERAL HOSPITAL,SAVANNAH,TN,ASO,MEM,PR,35-13-05.2920N,088-13-09.1300W,PR,,NON-NPIAS,,N,,,0,0 
07107.02*H,1KY1,HARDIN MEMORIAL HOSPITAL,ELIZABETHTOWN,KY,ASO,MEM,PR,37-42-38.0000N,085-52-37.0000W,PU,,NON-NPIAS,,N,,,0,0 
18064.11*H,OH75,HARDIN MEMORIAL HOSPITAL,KENTON,OH,AGL,DET,PR,40-38-58.1940N,083-35-34.7440W,PR,,NON-NPIAS,,N,,,0,0 
22632.*A,9D2,HARDING COUNTY,BUFFALO,SD,AGL,DMA,PU,45-34-46.3979N,103-31-44.0767W,PU,,General Aviation,,N,100LL,,7,760 
03156.513*H,FL64,HARDRIVES DELTA NR 3 HELISTOP,DELRAY BEACH,FL,ASO,ORL,PR,26-25-58.0800N,080-05-36.7800W,PR,,NON-NPIAS,,N,,,0,0 
50215.04*A,32AK,HARDROCK FIELD,FAIRBANKS,AK,AAL,NONE,PR,64-54-33.4300N,147-54-50.2600W,PR,,NON-NPIAS,,N,,,3,0 
07762.4*H,LS79,HARDTNER MEDICAL CENTER,URANIA,LA,ASW,LNM,PR,31-51-40.5970N,092-16-33.4980W,PU,,NON-NPIAS,,N,,,0,0 
24960.1*A,3XA1,HARDY FIELD,VALLEY VIEW,TX,ASW,TEX,PR,33-28-26.2200N,097-10-09.3600W,PR,,NON-NPIAS,,N,,,3,0 
27772.*A,WY07,HARDY RANCH,DOUGLAS,WY,ANM,DEN,PR,43-19-30.8830N,105-40-31.9850W,PR,,NON-NPIAS,,N,,,1,0 
11358.*A,HEZ,HARDY-ANDERS FIELD NATCHEZ-ADAMS COUNTY,NATCHEZ,MS,ASO,JAN,PU,31-36-49.2000N,091-17-50.4000W,PU,IV A U 06/1993,General Aviation,,N,100LLA,RNTL,25,16000 
08491.*A,0W3,HARFORD COUNTY,CHURCHVILLE,MD,AEA,DCA,PU,39-34-00.6160N,076-12-08.6500W,PR,,NON-NPIAS,,N,100LL,GLD  INSTR  PAJA  RNTL  TOW,45,17840 
27752.1*A,HAD,HARFORD FIELD,CASPER,WY,ANM,DEN,PU,42-55-27.8760N,106-18-34.0920W,PR,,NON-NPIAS,,N,,,8,100 
07589.11*H,28LS,HARGRODER,LAFAYETTE,LA,ASW,LNM,PR,30-10-09.0000N,092-03-45.0000W,PR,,NON-NPIAS,,N,,,0,0 
13581.15*H,2JY9,HARGROVE,CAMDEN,NJ,AEA,HAR,PR,39-56-47.0000N,075-06-14.0000W,PR,,NON-NPIAS,,N,,,0,0 
27517.961*A,20WI,HARJU,REDGRANITE,WI,AGL,CHI,PR,44-01-16.9260N,089-04-45.4210W,PR,,NON-NPIAS,,N,,,1,0 
12598.1*C,H63,HARLAN COUNTY LAKE,ALMA,NE,ACE,NONE,PU,40-02-35.0410N,099-15-03.3350W,PU,,NON-NPIAS,,N,,,0,2 
07183.11*H,6KY0,HARLAN HOSPITAL,HARLAN,KY,ASO,MEM,PR,36-48-32.0000N,083-18-54.0000W,PR,,NON-NPIAS,,N,,,0,0 
06040.*A,HNR,HARLAN MUNI,HARLAN,IA,ACE,NONE,PU,41-35-03.7000N,095-20-22.9000W,PU,,General Aviation,,N,100LLA,INSTR,20,7700 
12390.*A,48S,HARLEM,HARLEM,MT,ANM,HLN,PU,48-33-58.6604N,108-46-26.5303W,PU,,General Aviation,,N,,AGRI,5,3850 
50920.01*A,A67,HARLEQUIN LAKE,YAKUTAT,AK,AAL,NONE,PU,59-24-51.9800N,139-01-30.1780W,PU,,NON-NPIAS,,N,,,0,150 
02315.41*A,6CL8,HARLEY,STOCKTON,CA,AWP,SFO,PR,37-57-03.0000N,121-14-36.0000W,PR,,NON-NPIAS,,N,,,1,0 
20323.*A,0PS7,HARMAN,ELIZABETHVILLE,PA,AEA,HAR,PR,40-31-20.3060N,076-50-43.8990W,PR,,NON-NPIAS,,N,,,0,0 
18844.25*A,47OK,HARMAN,CALUMET,OK,ASW,AOK,PR,35-35-01.1790N,098-02-24.1880W,PR,,NON-NPIAS,,N,,,1,0 
22376.*A,SC20,HARMAN,LANGLEY,SC,ASO,ATL,PR,33-29-03.4960N,081-49-33.4030W,PR,,NON-NPIAS,,N,,,1,0 
14183.15*B,JY33,HARMONY,PHILLIPSBURG,NJ,AEA,HAR,PR,40-44-22.2000N,075-08-16.8000W,PR,,NON-NPIAS,,N,,,0,0 
23824.61*A,6XS9,HARMONY FIELD,ELMENDORF,TX,ASW,TEX,PR,29-17-45.8560N,098-22-46.0490W,PR,,NON-NPIAS,,N,,,5,0 
06690.02*A,16KS,HARMONY VALLEY,INDEPENDENCE,KS,ACE,NONE,PR,37-13-24.5700N,095-35-53.9900W,PR,,NON-NPIAS,,N,,,3,0 
05022.8*A,08IL,HARMS AIRSTRIP,TAMPICO,IL,AGL,CHI,PR,41-34-37.1180N,089-47-38.3780W,PR,,NON-NPIAS,,N,,,1,0 
16864.08*H,42NR,HARNETT HEALTH,LILLINGTON,NC,ASO,ATL,PR,35-25-33.4400N,078-48-33.9800W,PR,,NON-NPIAS,,N,,,0,0 
16707.1*A,HRJ,HARNETT RGNL JETPORT,ERWIN,NC,ASO,MEM,PU,35-22-48.5629N,078-43-56.0490W,PU,,General Aviation,,N,100LLA1+,GLD  INSTR  RNTL  TOW,48,51300 
04784.41*A,16IL,HAROLD BUNGER,KIRKLAND,IL,AGL,CHI,PR,42-04-00.0960N,088-50-00.3370W,PR,,NON-NPIAS,,N,,,3,0 
22813.1*A,VMR,HAROLD DAVIDSON FIELD,VERMILLION,SD,AGL,DMA,PU,42-45-55.0000N,096-56-03.3000W,PU,,General Aviation,,N,100LLA,AGRI  INSTR  RNTL,26,4098 
06575.*A,SN37,HAROLD K WELLS,ELMDALE,KS,ACE,NONE,PR,38-23-13.0500N,096-43-47.0500W,PR,,NON-NPIAS,,N,,,1,0 
06472.*A,K58,HAROLD KRIER FLD,ASHLAND,KS,ACE,NONE,PU,37-10-00.0970N,099-46-30.4610W,PU,,NON-NPIAS,,N,100LL,AGRI  INSTR,5,2500 
09551.01*H,03MI,HAROLD MILLER,BAY CITY,MI,AGL,DET,PR,43-33-03.0840N,083-51-43.9040W,PR,,NON-NPIAS,,N,,,0,0 
03222.61*H,NZX,HAROLD NOLF,HAROLD,FL,ASO,ORL,PR,30-40-50.6880N,086-53-13.8590W,MN,,NON-NPIAS,,N,,,0,0 
07360.5*A,5KY8,HAROLD REYNOLDS,SALVISA,KY,ASO,MEM,PR,37-53-23.0000N,084-55-40.0000W,PR,,NON-NPIAS,,N,,,1,0 
08683.*A,6MD3,HARP,WOLFSVILLE,MD,AEA,DCA,PR,39-35-49.0000N,077-32-48.0000W,PR,,NON-NPIAS,,N,,,1,0 
06648.1*A,8K2,HARPER MUNI,HARPER,KS,ACE,NONE,PU,37-16-41.4710N,098-02-36.5220W,PU,,NON-NPIAS,,N,100LL,AGRI,13,3100 
18519.*A,67OH,HARPER RIDGE,SOLON,OH,AGL,DET,PR,41-24-50.1940N,081-27-09.4170W,PR,,NON-NPIAS,,N,,,2,0 
03117.23*A,0FL0,HARPER'S FLY-IN RANCH,CLEWISTON,FL,ASO,ORL,PR,26-43-50.0000N,081-09-50.0000W,PR,,NON-NPIAS,,N,,,2,0 
22270.*A,02SC,HARPERS,ESTILL,SC,ASO,ATL,PR,32-45-30.6070N,081-13-29.3690W,PR,,NON-NPIAS,,N,,AGRI,0,0 
26230.6*A,WA26,HARRAH,HARRAH,WA,ANM,SEA,PR,46-24-29.4540N,120-38-04.2370W,PR,,NON-NPIAS,,N,,,0,0 
13487.1*C,58NJ,HARRAH'S LANDING,ATLANTIC CITY,NJ,AEA,HAR,PR,39-23-10.4200N,074-25-33.5360W,PR,,NON-NPIAS,,N,,,2,0 
00912.*A,CDH,HARRELL FIELD,CAMDEN,AR,ASW,AOK,PU,33-37-22.1000N,092-45-48.2000W,PU,,General Aviation,,N,100LLA,,12,14000 
11394.*A,MS08,HARRELL FIELD,PISGAH,MS,ASO,JAN,PR,32-28-26.0000N,089-51-06.4000W,PR,,NON-NPIAS,,N,,,16,0 
